Timestamp            City                        Radius    Score  Q100+  Q500+   Q1K+   Q5K+      p90
-----------------------------------------------------------------------------------------------------
2026-04-04 00:17:20  Hong Kong                    8,000    941.9    884    302    154     27    4,443
2026-04-04 00:17:20  Macao                        8,000    229.6    187     72     43     10    6,562
2026-04-04 00:17:20  New Orleans                  8,000   1675.6    971    533    307     41    4,080
2026-04-04 00:17:20  San Francisco                8,000   2970.7      —    950    539     61    3,911
2026-04-04 00:48:21  San Francisco                8,000   2984.8   1,896   953    545     63    3,961
2026-04-04 12:47:51  Sunnyvale                    4,000    863.5      —    274    166     19    4,440
2026-04-04 12:54:56  Sunnyvale                    4,000    863.5      —    274    166     19    4,440
2026-04-04 23:14:25  Sunnyvale                    4,000   1338.9      —    433    231     19    3,232
2026-04-04 23:23:10  Sunnyvale                    4,000   1338.9    886    433    231     19    3,232
2026-04-04 23:43:22  San Francisco                8,000   3829.2  2,835  1,238    635     66    3,494
2026-04-05 00:05:18  New Orleans                  4,000   2431.9  1,596    772    448     68    4,574
2026-04-06 23:13:21  Palo Alto                    4,000    718.2    528    231    123     14    3,306
2026-04-09 05:55:23  San Jose                     5,000   2258.4  1,564    738    363     25    2,800
2026-04-09 05:59:16  Fremont                      5,000    887.2    739    290    134     16    2,840
2026-04-09 06:02:21  Milpitas                     4,000    974.7    687    316    156     17    3,342
2026-04-09 06:04:47  San Mateo                    5,000    668.9    532    215    114     17    3,271
2026-04-09 06:06:25  Redwood City                 4,000    556.7    426    179     94     12    3,049
2026-04-09 06:07:33  San Bruno                    4,000    609.8    488    195    105     18    3,894
